ID,NAME,RESPONSE,PREFEC,DISTRICT,PR,PRBLOCK,PARTY,MINSHIN,INCUMB,TERM,SEX,AGE,RESULT,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q3,SQ3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7,SQ7_1_1,SQ7_1_2,SQ7_1_3,SQ7_2,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q1_1_FA,Q1_2_FA,Q1_3_FA,SQ7_1_1_FA,SQ7_1_2_FA,SQ7_1_3_FA
259,原口＝実季,1,13,1,0,66,9,66,1,0,2,28,1,1,2,14,50,25,40,10,25,25,15,55,25,50,5,66,1,1,1,5,1,1,3,2,5,5,5,2,1,4,4,2,1,1,2,5,3,1,5,3,2,1,2,1,1,5,11,1,5,4,3,2,5,2,5,5,4,5,,,,,,予算の単年度制の見直し
260,犬丸＝光加,1,13,1,0,66,10,66,1,0,2,57,1,12,6,5,10,10,10,0,0,20,10,0,0,0,5,66,5,5,2,1,4,4,3,3,5,5,5,2,5,1,3,3,5,4,5,2,4,4,4,4,4,4,3,5,66,66,66,66,5,5,5,1,5,5,5,5,5,5,,,,,,
261,又吉＝光雄,0,13,1,0,66,10,66,1,0,1,73,1,99,99,99,999,999,999,999,999,999,999,999,999,999,99,66,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,66,66,66,66,99,99,99,99,99,99,99,99,99,99,,,,,,
262,辻＝清人,1,13,2,0,55,1,66,3,2,1,38,2,1,5,3,90,50,90,50,50,50,50,50,50,90,2,4,1,1,1,1,3,4,2,3,3,3,3,3,3,3,3,4,3,3,4,3,4,2,3,4,99,3,3,3,66,66,66,66,2,1,1,3,1,1,1,1,1,2,,,,,,
263,鳩山＝太郎,1,13,2,0,55,7,66,1,0,1,43,1,10,1,15,999,50,999,999,20,999,999,999,100,999,5,66,99,3,3,3,3,4,4,4,2,1,3,1,3,1,3,2,1,4,4,3,4,1,5,2,2,1,4,1,4,6,9,99,3,4,3,2,2,2,4,4,3,5,,,,,,
264,松尾＝明弘,1,13,2,0,55,8,2,1,0,1,42,1,6,3,2,30,70,30,50,30,50,50,50,30,30,4,66,1,2,4,1,4,4,3,2,2,2,5,2,1,1,2,3,5,4,5,3,5,1,1,4,2,4,1,2,1,11,10,2,2,4,3,2,3,5,5,4,5,5,,,,,一票の格差,
265,石原＝宏高,1,13,3,0,55,1,66,3,3,1,53,2,1,5,99,100,25,100,0,25,15,0,75,25,100,1,4,1,3,1,1,1,3,2,3,2,3,3,3,2,3,3,3,3,3,3,4,4,3,3,3,3,3,2,1,1,9,3,2,3,1,1,1,1,1,1,1,1,1,,,,,,
266,松原＝仁,1,13,3,0,55,7,66,3,6,1,61,3,3,10,1,999,75,999,999,30,999,999,999,100,999,5,66,2,99,1,99,3,4,99,99,3,99,99,99,99,2,99,2,1,3,99,2,99,2,5,3,2,2,4,1,5,4,9,2,99,4,3,1,2,99,4,5,99,5,,,,,,
267,香西＝克介,1,13,3,0,66,3,66,1,0,1,41,1,12,5,1,999,999,999,999,999,999,999,999,999,999,5,66,5,5,5,1,5,5,2,3,1,1,5,3,5,1,1,1,5,5,5,1,4,5,5,5,5,3,5,5,66,66,66,66,5,5,5,1,5,5,5,5,5,5,,,,,,
268,平＝将明,1,13,4,0,55,1,66,3,4,1,50,2,16,1,2,100,0,100,0,50,0,0,0,50,100,3,5,1,3,1,5,3,3,3,2,3,2,3,2,1,3,2,1,2,3,5,4,2,2,3,2,1,2,1,1,9,8,11,1,2,1,1,1,1,1,3,1,1,4,成長戦略,,,,,前文
269,難波＝美智代,1,13,4,0,55,7,66,1,0,2,43,1,6,5,7,999,50,999,999,20,999,999,999,100,999,5,66,2,3,3,3,3,4,4,4,2,2,3,99,3,1,2,2,1,4,4,3,4,1,5,2,2,1,4,1,6,9,2,2,3,4,3,2,2,2,4,4,3,5,,,,,,
270,井戸＝正枝,1,13,4,0,55,8,2,2,1,2,51,1,5,6,16,10,999,45,75,25,50,75,0,25,5,4,66,3,4,4,1,5,4,3,3,2,2,3,3,4,1,1,2,4,4,5,2,4,4,4,4,4,3,3,4,66,66,66,66,5,5,5,4,5,5,3,5,5,5,,,無戸籍者・民法,,,
271,青山＝昂平,1,13,4,0,66,3,66,1,0,1,26,1,12,7,5,999,999,999,999,999,999,999,999,999,999,5,66,5,5,5,1,5,5,2,2,1,1,5,3,5,1,1,1,5,5,5,1,4,5,5,5,5,3,5,5,66,66,66,66,5,5,5,1,5,5,5,5,5,5,,,,,,
272,若宮＝健嗣,1,13,5,0,55,1,66,3,3,1,56,2,1,5,3,100,0,100,0,50,0,0,50,0,100,1,5,1,4,1,3,3,3,2,2,3,4,3,3,2,5,5,3,5,2,1,5,3,1,3,3,2,2,2,1,1,9,3,1,1,1,1,1,1,1,1,1,1,2,,,,,,
273,福田＝峰之,1,13,5,0,55,7,66,3,3,1,53,1,2,15,5,50,999,50,0,50,50,0,25,100,50,5,66,3,4,3,1,3,4,4,3,2,3,4,4,5,1,3,1,1,3,3,3,3,1,5,3,2,5,4,1,8,9,11,2,1,4,1,1,3,1,3,3,3,5,,,,,,財政
274,手塚＝仁雄,1,13,5,0,55,8,2,2,3,1,51,3,5,15,10,0,100,10,30,10,20,50,0,30,0,3,3,4,4,3,2,5,3,4,4,1,2,5,2,5,1,2,2,4,5,5,1,4,3,4,4,3,2,4,4,66,66,66,66,5,5,4,4,4,5,4,4,5,5,,,,,,
275,越智＝隆雄,1,13,6,0,55,1,66,3,3,1,53,3,16,5,7,100,20,100,20,20,20,20,20,20,80,1,5,1,3,2,3,3,4,5,2,2,3,3,3,2,2,3,3,3,3,3,3,4,2,2,3,2,4,2,1,9,11,8,2,2,1,1,3,1,1,2,2,2,3,経済,,,,財政健全化,
276,植松＝恵美子,1,13,6,0,55,7,66,1,0,2,49,1,5,3,10,999,999,60,999,80,999,999,999,100,999,5,66,3,3,4,2,4,4,4,4,1,3,4,3,3,1,1,1,3,4,4,3,4,1,5,3,2,1,4,1,8,6,4,2,2,5,4,2,4,2,5,5,4,5,,,,,,
277,落合＝貴之,1,13,6,0,55,8,2,3,1,1,38,2,10,15,3,30,70,50,60,50,70,60,20,30,20,5,66,2,3,3,1,4,3,3,3,2,3,4,3,4,2,2,1,5,4,5,2,3,3,4,4,3,2,4,3,66,66,66,66,5,4,5,1,5,4,4,3,4,5,,,,,,
278,中岡＝茉妃,1,13,6,0,66,9,66,1,0,2,26,1,1,2,14,50,25,40,10,25,25,15,55,25,50,5,66,1,1,1,5,1,1,3,2,5,5,5,2,1,4,4,2,1,1,2,5,3,1,5,3,2,1,2,1,1,5,11,1,5,4,3,2,5,2,5,5,4,5,,,,,,予算の単年度制の見直し
279,松本＝文明,1,13,7,0,55,1,66,3,3,1,68,3,1,5,16,100,10,50,10,60,10,10,60,999,100,2,4,2,4,1,1,2,3,2,3,2,3,3,3,1,3,3,2,2,2,99,2,4,2,2,4,4,2,2,1,3,10,1,1,1,1,1,1,1,1,2,1,1,2,,,DK,,,
280,荒木＝章博,1,13,7,0,55,7,66,1,0,1,64,1,5,10,15,999,50,999,999,20,999,999,999,100,999,5,66,1,3,2,3,3,4,4,4,2,1,3,1,3,1,3,1,1,4,4,3,4,1,5,2,2,1,4,1,4,9,6,2,3,4,3,2,2,2,4,4,3,5,,,,,,
281,長妻＝昭,1,13,7,0,55,8,2,3,6,1,57,2,6,7,1,10,100,60,50,10,50,50,10,50,10,2,4,2,4,1,1,5,5,5,5,1,1,4,4,5,1,3,1,5,3,5,1,5,2,3,4,3,4,5,2,10,11,6,2,4,4,4,4,4,4,4,4,5,5,,,,,知る権利,
282,井上＝郁磨,0,13,7,0,66,11,66,1,0,1,26,1,99,99,99,999,999,999,999,999,999,999,999,999,999,99,66,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,66,66,66,66,99,99,99,99,99,99,99,99,99,99,,,,,,
283,石原＝伸晃,1,13,8,0,55,1,66,3,9,1,60,2,1,5,9,100,0,100,0,50,0,0,50,0,100,1,4,1,3,1,1,3,3,2,3,2,3,3,3,2,3,3,2,3,3,3,4,4,3,3,3,3,3,2,1,8,11,3,2,3,1,1,1,1,1,1,1,1,1,,,,,教育の充実,
284,木内＝孝胤,1,13,8,0,55,7,66,3,2,1,51,1,2,1,15,999,50,999,999,20,999,999,999,100,999,5,66,2,3,3,2,3,4,4,3,2,1,3,1,3,1,3,2,1,3,3,2,4,1,4,3,3,2,4,1,6,9,5,2,3,4,3,2,2,2,4,4,3,5,,,,,,
285,吉田＝晴美,1,13,8,0,55,8,2,1,0,2,45,1,5,7,15,30,80,20,50,20,60,60,0,10,10,5,66,4,5,4,1,4,4,5,4,1,1,5,2,5,1,1,3,5,4,5,1,4,1,4,5,3,5,4,4,66,66,66,66,5,4,4,5,4,5,5,5,5,5,,,,,,
286,長内＝史子,1,13,8,0,66,3,66,1,0,2,29,1,1,5,7,999,999,999,999,999,999,999,999,999,999,5,66,5,5,5,1,5,5,2,3,1,1,5,3,5,1,1,1,5,5,5,1,4,5,5,5,5,3,5,5,66,66,66,66,5,5,5,1,5,5,5,5,5,5,,,,,,
287,斎藤＝郁真,0,13,8,0,66,10,66,1,0,1,29,1,99,99,99,999,999,999,999,999,999,999,999,999,999,99,66,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,66,66,66,66,99,99,99,99,99,99,99,99,99,99,,,,,,
288,円＝より子,1,13,8,0,66,11,66,1,0,2,70,1,1,15,5,30,80,60,60,20,60,60,0,60,0,5,66,3,5,5,1,5,5,3,3,1,1,5,3,5,1,1,1,5,5,5,1,5,3,5,5,3,3,5,5,66,66,66,66,5,5,5,5,5,5,5,5,5,5,,,,,,
289,菅原＝一秀,1,13,9,0,55,1,66,3,5,1,55,2,1,6,5,90,0,90,0,70,0,0,70,0,100,2,4,1,4,1,1,3,3,2,2,1,2,3,2,3,3,3,4,5,3,3,2,5,1,4,4,2,5,2,1,9,11,1,1,2,1,1,2,1,1,3,1,1,2,,,,,教育無償化,
290,原＝純子,1,13,9,0,55,3,66,1,0,2,53,1,12,5,2,999,999,999,999,999,999,999,999,999,999,5,66,5,5,5,1,5,5,2,2,1,1,5,3,5,1,1,1,5,4,5,1,3,5,5,5,5,3,5,5,66,66,66,66,5,5,5,1,5,5,5,5,5,5,,,,,,
291,高松＝智之,1,13,9,0,55,7,66,1,0,1,43,1,10,7,5,65,50,75,20,70,60,10,40,100,40,4,66,2,3,3,2,2,3,2,2,4,2,2,4,4,2,4,3,1,3,3,2,3,2,4,2,1,2,3,2,8,4,9,2,2,2,3,2,2,2,2,3,4,5,,,,,,
292,前田＝吉成,1,13,9,0,66,11,66,1,0,1,62,1,8,13,4,50,25,50,50,30,30,30,30,30,30,5,66,3,3,1,3,3,1,1,1,3,3,1,3,1,3,3,3,3,3,1,3,3,3,5,1,1,1,1,3,66,66,66,66,3,3,3,1,3,1,3,5,3,3,,,,,,
293,鈴木＝隼人,1,13,10,0,55,1,66,3,1,1,40,2,1,5,2,999,999,999,999,999,999,999,999,999,999,1,4,1,3,1,1,3,3,2,3,2,3,3,3,2,3,3,2,3,3,3,4,4,3,3,3,3,3,2,1,99,99,99,99,99,1,1,1,1,1,1,1,1,3,,,,,,
294,若狭＝勝,1,13,10,0,55,7,66,3,2,1,60,1,10,11,15,50,999,70,10,70,30,10,20,100,30,5,66,2,3,3,3,3,4,4,4,3,2,2,3,4,1,3,1,1,4,4,3,4,1,5,2,2,1,4,1,6,5,4,2,3,4,3,2,2,2,4,4,4,5,,,,,,
295,鈴木＝庸介,1,13,10,0,55,8,2,1,0,1,41,1,16,5,6,50,90,80,80,50,80,80,50,50,40,3,3,1,3,2,1,3,5,3,3,2,2,5,1,5,2,2,2,3,5,5,1,3,4,2,4,3,2,3,4,66,66,66,66,3,2,2,3,3,5,4,4,5,5,人口問題,,,,,
296,岸＝良信,1,13,10,0,66,3,66,1,0,1,62,1,12,1,5,0,999,0,100,0,999,60,0,0,0,5,66,5,5,5,1,5,5,2,3,1,1,5,3,5,1,1,1,5,5,5,1,4,5,5,5,5,3,5,5,66,66,66,66,5,5,5,1,5,5,5,5,5,5,,,,,,
297,吉井＝利光,1,13,10,0,66,9,66,1,0,1,35,1,1,3,6,30,7,10,5,25,10,5,40,10,10,5,66,1,1,1,5,1,1,1,2,5,5,2,2,1,2,5,2,1,1,4,5,2,1,5,2,1,1,1,1,1,5,11,1,5,4,3,2,5,2,5,5,4,5,,,,,,予算の単年度制の見直し
298,小山＝徹,1,13,10,0,66,11,66,1,0,1,42,1,7,16,6,40,40,40,40,40,40,40,40,40,40,1,1,1,5,5,1,3,5,3,5,5,3,2,2,3,1,1,5,3,5,2,2,5,3,3,2,3,5,4,5,66,66,66,66,3,4,2,4,4,5,5,5,2,5,,国際平和貢献,,,,
299,下村＝博文,1,13,11,0,55,1,66,3,7,1,63,2,5,1,3,100,50,100,25,60,30,25,100,40,100,1,5,1,2,2,1,3,4,2,1,2,3,2,2,1,2,4,5,3,2,3,3,2,2,2,4,2,2,2,1,11,9,8,1,1,1,1,1,1,1,1,1,2,3,,,,26条,,
300,宍戸＝千絵,1,13,11,0,55,7,66,1,0,2,39,1,5,10,9,30,999,50,0,100,75,0,70,100,50,5,66,2,5,4,1,5,3,2,2,2,2,2,2,4,1,2,2,1,2,5,2,4,1,4,3,4,2,4,1,7,4,5,1,2,3,2,2,4,1,4,4,4,5,,,,,,
301,前田＝順一郎,1,13,11,0,55,8,2,1,0,1,42,1,3,1,2,50,100,50,50,50,50,50,50,50,50,5,66,2,2,2,2,5,4,4,3,5,1,3,2,5,1,2,5,5,3,5,1,5,1,5,5,2,5,1,3,66,66,66,66,5,5,5,1,5,5,5,5,5,5,,,,,,
302,小堤＝東,1,13,11,0,66,3,66,1,0,1,28,1,12,5,6,999,999,999,999,999,999,999,999,999,999,99,66,5,5,5,1,5,5,2,3,1,1,5,3,5,1,1,1,5,5,5,1,4,5,5,5,5,3,5,99,66,66,66,66,5,5,5,1,5,5,5,5,5,5,,,,,,
303,池内＝沙織,1,13,12,0,55,3,66,3,1,2,35,1,12,16,5,999,999,999,999,999,999,999,999,999,999,5,66,5,5,5,1,5,5,2,3,1,1,5,3,5,1,1,1,5,4,5,1,3,5,5,5,5,3,5,5,66,66,66,66,5,5,5,2,5,5,5,5,5,5,,マイノリティの人権,,,,
304,太田＝昭宏,1,13,12,0,66,2,66,3,7,1,72,2,5,6,1,999,999,999,999,999,999,999,999,999,999,2,5,2,3,2,1,5,4,2,2,3,3,2,2,2,2,3,4,5,3,3,3,3,2,3,4,3,3,3,2,99,99,99,2,2,1,1,2,1,1,1,1,1,3,,,,,,
305,中村＝勝,0,13,12,0,66,10,66,1,0,1,66,1,99,99,99,999,999,999,999,999,999,999,999,999,999,99,66,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,66,66,66,66,99,99,99,99,99,99,99,99,99,99,,,,,,
306,鴨下＝一郎,1,13,13,0,55,1,66,3,8,1,68,2,1,5,99,999,999,999,999,999,999,999,999,999,999,1,4,1,2,1,1,99,3,2,3,2,3,3,3,3,3,3,2,5,3,4,4,4,3,3,3,3,3,2,1,8,3,9,99,99,1,1,1,1,1,1,1,1,99,,,,,,
307,北條＝智彦,1,13,13,0,55,8,2,1,0,1,34,1,5,7,6,30,999,50,50,20,50,50,20,10,20,5,66,2,3,3,1,5,5,2,1,1,1,3,4,4,2,2,2,3,4,5,2,2,4,4,3,2,1,2,4,66,66,66,66,5,5,4,2,3,5,3,4,5,5,,,,,,
308,祖父江＝元希,1,13,13,0,66,3,66,1,0,1,42,1,12,1,5,0,50,0,100,0,50,75,0,0,0,5,66,5,5,5,1,5,5,2,3,1,1,5,3,5,1,1,1,5,5,5,1,3,5,5,5,5,3,5,5,66,66,66,66,5,5,5,1,5,5,5,5,5,5,,,,,,
309,松島＝みどり,1,13,14,0,55,1,66,3,5,2,61,2,1,6,5,999,999,999,999,999,999,999,999,999,999,1,2,2,2,2,3,3,2,3,3,3,2,1,4,2,2,4,5,3,2,5,5,5,4,2,3,2,5,4,1,1,11,11,2,2,1,1,3,2,2,2,1,2,5,,,,,「国会議員は国民と地域の代表である。」,被害者の権利
310,矢作＝麻子,1,13,14,0,55,7,66,1,0,2,39,1,2,5,1,40,0,0,0,0,0,0,40,100,40,4,66,1,2,1,4,2,2,2,1,2,5,2,4,4,5,3,3,1,1,2,2,4,2,4,2,2,5,1,1,1,5,2,1,3,3,2,2,3,2,4,4,3,5,,,,,,
311,阿藤＝和之,1,13,14,0,66,3,66,1,0,1,46,1,12,3,7,999,999,999,999,999,999,999,999,999,999,5,66,5,5,5,1,5,5,2,3,1,1,5,3,5,1,1,1,5,5,5,1,3,5,5,5,5,3,5,5,66,66,66,66,5,5,5,1,5,5,5,5,5,5,,,,,,
312,清井＝美穂,1,13,14,0,66,9,66,1,0,2,54,1,1,2,14,50,25,40,10,25,25,15,55,25,50,5,66,1,1,1,5,1,1,3,2,5,5,5,2,1,4,4,2,1,1,2,5,3,1,5,3,2,1,2,1,1,5,11,1,5,4,3,2,5,2,5,5,4,5,,,,,,予算の単年度制の見直し
313,大塚＝紀久雄,1,13,14,0,66,11,66,1,0,1,76,1,1,12,15,0,40,0,60,0,0,60,0,0,0,99,66,5,5,5,1,5,3,4,4,3,3,5,2,5,4,4,3,2,4,4,1,5,2,3,4,3,2,4,5,66,66,66,66,5,4,3,3,99,99,5,4,5,5,,,,,,
314,秋元＝司,1,13,15,0,55,1,66,3,2,1,46,2,2,3,1,999,999,999,999,999,999,999,999,999,999,2,4,2,3,2,2,3,4,2,2,2,3,3,2,2,3,3,4,4,2,2,4,2,2,5,4,2,2,2,1,9,6,8,99,2,1,1,1,1,1,1,1,1,5,,,,,,
315,柿沢＝未途,1,13,15,0,55,7,66,3,3,1,46,3,10,15,5,30,75,30,30,55,55,30,30,90,30,4,66,1,3,2,3,3,3,4,4,2,1,4,2,4,2,2,2,1,3,4,1,4,2,4,2,2,3,4,1,4,5,10,1,5,4,4,3,3,4,4,4,4,5,,,,,,
316,吉田＝年男,1,13,15,0,66,3,66,1,0,1,69,1,12,1,2,0,0,0,100,0,30,50,0,0,0,5,66,5,5,5,5,5,5,1,3,1,1,5,5,5,1,3,1,5,5,5,1,3,5,5,3,3,3,5,5,66,66,66,66,5,5,5,3,5,5,5,5,5,5,,,,,,
317,猪野＝隆,1,13,15,0,66,11,66,1,0,1,52,1,16,10,12,20,5,5,10,70,50,50,10,60,20,2,1,3,5,3,1,3,3,4,3,4,2,4,3,4,2,1,3,2,3,5,2,4,3,2,3,2,4,5,1,11,4,5,2,5,4,4,2,3,4,4,4,4,5,政治家改革,,,LGBTの結婚,,
318,大西＝英男,1,13,16,0,55,1,66,3,2,1,71,2,13,5,15,100,10,80,10,40,10,10,999,10,100,2,4,1,2,1,2,1,3,1,2,2,2,3,3,2,4,4,4,4,3,2,4,2,3,3,3,4,3,3,1,9,1,4,1,1,1,1,1,1,1,1,1,1,1,,,,,,
319,田村＝謙治,1,13,16,0,55,7,66,2,3,1,49,1,6,5,15,30,70,70,10,60,50,20,50,100,35,5,66,1,3,3,3,3,4,4,4,2,1,3,1,3,1,3,2,1,4,4,3,4,1,5,2,2,1,4,1,6,4,8,2,3,4,3,2,2,2,4,4,3,5,,,,,,
320,初鹿＝明博,1,13,16,0,55,8,2,3,2,1,48,3,6,5,16,0,100,25,50,0,75,75,0,50,0,5,66,4,5,4,1,5,5,4,3,2,1,5,1,5,1,1,2,5,5,5,1,3,99,3,5,4,3,4,2,10,4,8,2,5,5,5,3,3,5,4,5,5,5,,,福祉政策　障がい者、生活保護等,,,
321,平沢＝勝栄,1,13,17,0,55,1,66,3,7,1,72,2,7,1,6,100,30,85,0,60,0,0,80,50,100,2,4,2,3,2,1,2,3,3,3,3,2,2,4,3,3,3,3,2,4,2,3,4,1,2,2,3,4,4,1,9,5,2,2,1,1,2,2,1,1,1,1,1,2,,,,,,
322,西田＝主税,1,13,17,0,55,7,66,1,0,1,55,1,10,15,9,65,40,65,30,60,50,30,65,100,70,5,66,2,2,1,3,3,3,4,4,2,2,3,3,4,3,4,4,1,4,5,3,4,2,4,3,3,4,4,2,8,4,10,2,3,2,3,1,3,2,2,2,2,5,,,,,,
323,新井＝杉生,1,13,17,0,66,3,66,1,0,1,58,1,1,7,15,999,999,999,999,999,999,999,999,999,999,5,66,5,5,5,1,5,99,2,3,1,1,5,3,5,1,1,1,5,4,5,1,3,5,5,5,5,3,5,5,66,66,66,66,5,5,5,1,5,5,5,5,5,5,,,,,,
324,鴇田＝敦,1,13,18,0,55,7,66,1,0,1,51,1,5,10,15,50,70,60,0,60,60,10,60,100,20,4,66,2,4,4,3,3,4,4,4,3,2,4,1,4,1,3,2,1,4,4,3,4,1,3,2,2,1,4,1,4,6,9,2,3,4,3,2,2,3,4,4,3,5,,,,,,
325,菅＝直人,1,13,18,0,55,8,2,3,12,1,71,2,15,5,6,0,999,999,999,0,999,999,999,999,0,3,4,3,5,4,1,5,4,3,3,1,2,4,2,5,1,2,1,3,4,4,1,4,3,3,4,3,2,5,5,66,66,66,66,4,5,3,4,4,5,3,4,5,5,,,,,,
326,土屋＝正忠,1,13,18,0,66,1,66,3,3,1,75,1,1,5,3,100,999,80,999,70,999,999,999,999,100,1,4,2,2,2,3,2,4,2,2,3,2,2,2,1,4,4,5,5,2,2,5,4,3,1,4,3,4,4,1,1,9,3,2,1,1,2,4,1,1,2,1,1,3,,,,,,
327,松本＝洋平,1,13,19,0,55,1,66,3,3,1,44,2,1,5,7,100,999,100,999,999,999,999,999,999,100,1,4,1,3,1,1,2,3,2,3,2,3,3,3,2,4,3,2,4,3,3,3,4,3,3,4,3,3,2,1,9,11,11,1,1,1,1,1,1,1,1,1,1,1,,,,,自衛隊の立場を明確に。,教育の充実
328,佐々木＝里加,1,13,19,0,55,7,66,1,0,2,50,1,2,15,10,30,65,60,20,75,60,55,55,100,10,5,66,2,3,3,3,3,4,4,4,2,1,3,1,3,1,3,2,1,4,4,3,4,1,5,2,2,1,4,1,5,6,9,1,3,4,3,2,2,2,4,4,3,5,,,,,,
329,末松＝義規,1,13,19,0,55,8,2,2,5,1,60,3,12,6,15,0,100,50,100,0,100,100,0,0,0,5,66,4,4,4,1,5,4,4,2,1,1,5,3,5,3,3,3,5,5,4,1,4,3,5,5,2,2,5,5,66,66,66,66,5,5,5,1,5,5,5,5,5,5,,,,,,
330,杉下＝茂雄,1,13,19,0,66,3,66,1,0,1,68,1,12,6,5,0,999,0,100,0,999,999,0,0,0,5,66,5,5,5,1,5,5,2,3,1,1,5,3,5,1,1,1,5,5,5,1,4,5,5,5,5,3,5,5,66,66,66,66,5,5,5,1,5,5,5,5,5,5,,,,,,
331,木原＝誠二,1,13,20,0,55,1,66,3,3,1,47,2,1,5,6,90,20,80,0,60,10,20,50,20,80,2,4,1,4,1,1,3,4,4,4,2,3,4,3,2,2,3,2,4,2,5,3,4,2,4,4,2,2,4,2,8,2,4,2,2,1,1,2,2,1,2,1,2,3,,,,,,
332,宮本＝徹,1,13,20,0,55,3,66,3,1,1,45,3,12,5,1,999,999,999,999,999,999,999,999,999,999,5,66,5,5,5,1,5,5,2,3,1,1,5,3,5,1,1,1,5,4,5,1,4,5,5,5,5,3,5,5,66,66,66,66,5,5,5,1,5,5,5,5,5,5,,,,,,
333,鹿野＝晃,1,13,20,0,55,7,66,1,0,1,44,1,6,5,10,40,10,50,10,90,10,10,50,100,40,5,66,1,2,2,4,1,3,3,2,1,3,3,4,5,4,4,2,2,2,2,2,3,1,5,3,2,2,3,2,1,9,4,1,2,3,2,1,2,2,4,4,2,5,,,,,,
334,小田原＝潔,1,13,21,0,55,1,66,3,2,1,53,3,5,1,7,999,999,999,999,999,999,999,999,999,999,2,4,1,1,1,3,1,3,1,1,3,3,2,2,1,5,4,2,2,1,1,5,4,1,1,2,3,4,2,1,3,2,1,1,3,1,1,3,1,1,1,1,1,2,,,,,,
335,小糸＝健介,1,13,21,0,55,5,66,1,0,1,35,1,5,10,6,999,999,999,999,999,999,999,999,999,999,5,66,3,5,5,1,5,5,5,5,1,1,5,3,5,1,1,1,5,5,5,1,4,5,5,5,3,3,5,5,66,66,66,66,5,5,5,3,5,5,5,5,5,5,,,,,,
336,長島＝昭久,1,13,21,0,55,7,66,3,5,1,55,2,5,1,3,30,50,30,10,40,30,20,50,100,30,5,66,1,3,3,3,3,4,4,4,2,1,3,1,3,1,3,1,1,4,4,3,4,1,5,2,2,1,4,1,9,4,5,2,3,4,3,2,2,2,4,4,3,5,,,,,,
337,天木＝直人,1,13,21,0,66,10,66,1,0,1,70,1,1,2,10,60,40,40,40,40,30,40,30,50,20,5,66,4,5,5,1,5,3,1,2,2,1,3,2,4,3,3,4,1,4,2,2,4,1,5,5,3,4,4,5,66,66,66,66,5,4,5,2,5,5,5,5,5,5,,,,,,
338,伊藤＝達也,1,13,22,0,55,1,66,3,7,1,56,2,3,5,6,999,999,999,999,999,999,999,999,999,999,2,5,1,3,2,1,3,4,3,4,3,2,3,3,2,2,2,1,5,4,4,3,3,2,5,4,2,2,2,1,4,8,9,2,4,1,1,1,1,1,1,1,1,5,,,,,,
339,金ケ崎＝絵美,1,13,22,0,55,7,66,1,0,2,41,1,5,10,15,50,50,40,40,40,40,40,40,100,0,5,66,2,4,4,2,3,4,4,4,3,1,4,1,4,1,2,2,1,4,4,3,4,1,5,2,2,2,4,1,6,4,5,2,4,4,3,2,2,3,4,4,4,5,,,,,,
340,山花＝郁夫,1,13,22,0,55,8,2,2,3,1,50,3,6,5,12,0,90,0,50,0,75,75,0,50,0,3,1,3,5,3,1,5,5,2,3,2,2,5,3,3,1,2,2,2,4,5,3,4,4,2,4,3,4,4,3,66,66,66,66,5,4,3,4,5,5,3,3,5,5,,,,,,
341,阿部＝真,1,13,22,0,66,3,66,1,0,1,43,1,12,7,5,0,999,0,100,0,999,80,0,0,0,5,66,5,5,5,1,5,5,2,3,1,1,5,3,5,1,1,1,5,4,5,1,3,5,5,5,5,3,5,5,66,66,66,66,5,5,5,1,5,5,5,5,5,5,,,,,,
342,小倉＝将信,1,13,23,0,55,1,66,3,2,1,36,2,7,6,2,100,0,100,0,0,0,0,0,0,100,3,5,1,4,1,1,1,4,2,4,2,3,4,2,2,2,2,1,2,3,3,3,2,1,4,2,1,2,2,1,5,1,9,2,1,1,1,1,1,1,1,1,1,3,,,,,,
343,伊藤＝俊輔,1,13,23,0,55,7,66,1,0,1,38,3,2,6,15,40,999,40,10,100,50,10,10,100,30,5,66,2,1,2,2,4,2,4,4,1,2,2,2,5,1,5,5,1,3,4,2,4,1,5,5,2,4,4,1,2,6,11,1,4,5,5,5,5,5,5,5,5,5,,,,,,教育の完全無償化
344,松村＝亮佑,1,13,23,0,66,3,66,1,0,1,37,1,12,1,5,0,0,0,100,0,50,90,0,0,0,5,66,5,5,5,1,5,5,2,3,1,1,5,3,5,1,1,1,5,5,5,1,4,5,5,5,5,3,5,5,66,66,66,66,5,5,5,1,5,5,5,5,5,5,,,,,,
